2190,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,400,1,0,0,0,0,0,0,1,1,0,0,0,1,1
0,1,-217,0,0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,-942,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,-478,0,0,1,1,0,0,1,0,1,0,1
0,0,0,0,0,-76,1,0,0,0,0,0,1,1,1,0
0,0,0,0,0,1,-877,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,-877,1,0,0,1,0,1,0,1
0,0,0,0,1,0,0,1,-877,0,0,1,0,1,0,1
1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1
0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1
0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1
0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0
